0	0	0.226121
0.01	0.00226121	0.225675
0.024968	0.00562912	0.22334
0.0399505	0.00895038	0.219021
0.0550093	0.0122085	0.21272
0.0702121	0.0153867	0.204423
0.0856324	0.0184668	0.194097
0.101354	0.0214282	0.181689
0.117475	0.0242472	0.167121
0.134118	0.026896	0.150278
0.151441	0.02934	0.130996
0.169661	0.0315346	0.109037
0.189092	0.0334182	0.0840387
0.210223	0.0348996	0.0554244
0.233897	0.0358257	0.0222006
0.261716	0.0358962	-0.017475
0.296392	0.0344384	-0.0661898
0.322455	0.0322516	-0.100731
0.344346	0.0297415	-0.127646
0.36401	0.0270045	-0.149757
0.382259	0.0240941	-0.168226
0.399527	0.0210474	-0.183659
0.416083	0.0178929	-0.196421
0.43211	0.014654	-0.206747
0.447745	0.0113508	-0.214794
0.463092	0.00800157	-0.220672
0.478239	0.00462283	-0.224458
0.493261	0.00123048	-0.226199
0.508226	-0.00216011	-0.225926
0.523192	-0.00553162	-0.223651
0.538166	-0.00885614	-0.219391
0.553214	-0.012118	-0.21315
0.568404	-0.0153006	-0.204912
0.583809	-0.0183856	-0.194647
0.599512	-0.0213526	-0.182303
0.615611	-0.0241783	-0.167801
0.632226	-0.0268346	-0.151029
0.649516	-0.0292875	-0.131824
0.667692	-0.0314926	-0.109951
0.687066	-0.0333895	-0.0850548
0.708117	-0.034888	-0.056567
0.73167	-0.0358383	-0.023515
0.759286	-0.0359483	0.0159031
0.793671	-0.0345627	0.0643196
0.820017	-0.0323947	0.0993811
0.842037	-0.0298963	0.126587
0.861777	-0.0271676	0.148908
0.880074	-0.0242635	0.167546
0.897375	-0.0212214	0.183127
0.913954	-0.0180703	0.196022
0.929997	-0.0148336	0.206471
0.945642	-0.0115318	0.214635
0.960994	-0.00818296	0.220625
0.976143	-0.0048038	0.22452
0.991162	-0.0014102	0.226368
1.00612	0.00198243	0.226201
